Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWE Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label,Label
10.152.152.11-216.58.220.99-57158-443-6,10.152.152.11,57158,216.58.220.99,443,6,24/07/2015 04:09:48 PM,229,1,1,0,0,0,0,0,0,0,0,0,0,0,8733.624454,229,0,229,229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,4366.812227,4366.812227,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1892,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57159-443-6,10.152.152.11,57159,216.58.220.99,443,6,24/07/2015 04:09:48 PM,407,1,1,0,0,0,0,0,0,0,0,0,0,0,4914.004914,407,0,407,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2457.002457,2457.002457,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1987,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.220.99-57160-443-6,10.152.152.11,57160,216.58.220.99,443,6,24/07/2015 04:09:48 PM,431,1,1,0,0,0,0,0,0,0,0,0,0,0,4640.37123,431,0,431,431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2320.185615,2320.185615,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2049,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-74.125.136.120-49134-443-6,10.152.152.11,49134,74.125.136.120,443,6,24/07/2015 04:09:48 PM,359,1,1,0,0,0,0,0,0,0,0,0,0,0,5571.030641,359,0,359,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,2785.51532,2785.51532,0,0,0,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2008,1047,0,20,0,0,0,0,0,0,0,0,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34697-19305-6,10.152.152.11,34697,173.194.65.127,19305,6,24/07/2015 04:09:45 PM,10778451,591,400,64530,6659,131,0,109.1878173,22.28331261,498,0,16.6475,46.83371366,6604.75239,91.94271051,10887.32424,11412.46641,78158,13,10778451,18268.56102,11786.14309,81171,126,10747836,26936.93233,15897.73845,78158,307,1,0,0,0,11820,8000,54.83162655,37.11108396,0,498,71.87600806,56.93646989,3241.761603,1,0,0,659,991,0,0,0,0,71.94853683,109.1878173,16.6475,0,0,0,0,659,6605,0,65,0,6,1382,2320,581,20,0,0,0,0,1.44E+15,3117718.131,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-54570-443-6,10.152.152.11,54570,173.194.65.127,443,6,24/07/2015 04:10:00 PM,421362,5,3,72,79,72,0,14.4,32.19937888,79,0,26.33333333,45.61067127,358.3616937,18.98605,60194.57143,157282.8248,416869,13,421362,105340.5,207813.0522,417054,190,417945,208972.5,294010.0499,416869,1076,0,0,0,0,112,72,11.86628125,7.11976875,0,79,16.77777778,33.33833296,1111.444444,1,2,0,2,7,0,0,0,0,18.875,14.4,26.33333333,0,0,0,0,0,0,0,9,0,9,14600,913,1,20,0,0,0,0,1.44E+15,186611.0806,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
173.194.33.97-10.152.152.11-443-56254-6,173.194.33.97,443,10.152.152.11,56254,6,24/07/2015 04:09:45 PM,119682119,488,487,89259,314105,1460,0,182.9077869,360.0429556,1460,0,644.9794661,647.0368321,3370.294605,8.146580359,122876.9189,822593.3869,13485507,2,119642787,245673.0739,1151351.52,13485507,5,119028043,244913.6687,1155468.778,13522678,18,0,0,0,0,9760,9740,4.077467913,4.069112446,0,1460,413.2827869,571.8269811,326986.0964,0,0,0,403,975,0,0,0,0,413.7066667,182.9077869,644.9794661,0,0,0,0,44,9225,0,91,0,322,12108,9520,209,20,0,0,0,0,1.44E+15,31846302.81,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-216.58.216.142-57361-443-6,10.152.152.11,57361,216.58.216.142,443,6,24/07/2015 04:09:46 PM,116996934,369,378,208796,34340,1460,0,565.8428184,598.9278076,1460,0,90.84656085,180.9416799,2078.139928,6.384782699,156832.3512,733142.0977,7800200,5,116996398,317924.9946,1022458.742,7800456,31,116996466,310335.4536,1008875.864,7800557,7,0,0,0,0,7380,7560,3.153928803,3.230853896,0,1460,327,501.3555627,251357.4003,0,0,0,307,747,0,0,0,1,327.437751,565.8428184,90.84656085,0,0,0,0,25,4949,0,279,0,45,21142,8323,268,20,0,0,0,0,1.44E+15,36170281.84,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
74.125.28.189-10.152.152.11-443-44097-6,74.125.28.189,443,10.152.152.11,44097,6,24/07/2015 04:09:48 PM,100279453,61,60,14526,17870,996,0,238.1311475,324.8055046,1460,0,297.8333333,479.2418506,323.0572069,1.206628042,835662.1083,4003838.791,29069708,7,100279453,1671324.217,5562102.507,29069708,12,100240150,1698985.593,5612872.869,29109291,30,1,0,0,0,1220,1200,0.608300087,0.598327955,0,1460,269.5163934,406.9158386,165580.4997,0,0,0,54,121,0,0,0,0,271.7438017,238.1311475,297.8333333,0,0,0,0,11,4300,0,120,0,147,2640,3346,31,20,0,0,0,0,1.44E+15,33277896.96,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
10.152.152.11-173.194.65.127-34702-19305-6,10.152.152.11,34702,173.194.65.127,19305,6,24/07/2015 04:10:00 PM,119962833,3638,3157,254101,488658,190,0,69.84634415,53.94258372,1460,0,154.7855559,214.9351774,6191.576019,56.64254361,17657.17295,18742.91388,151388,9,119962833,32984.00687,24023.0108,151768,87,119940995,38004.11755,24494.27583,161775,61,0,0,0,0,72772,63152,30.32605941,26.31648421,0,1460,109.293555,157.5135858,24810.52971,0,2,0,4425,6794,0,0,0,0,109.3096394,69.84634415,154.7855559,0,0,0,0,4427,6193,0,37,0,71,14600,5292,2775,20,0,0,0,0,1.44E+15,32982542.98,1.44E+15,1.44E+15,Non-Tor,AUDIO-STREAMING
